# Working reading, 2026-09-23. NOT a verified final edition.
# Manuscript line numbers retained. Spelling lightly regularized, u/v and i/j distinguished.
# [word?] = conjectural reconstruction; [..] = unresolved. Unbracketed text still awaits complete token alignment.
152r.01	[Despuis?] les derniers advertissemens
152r.02	que envois a vostre grandeur, les
152r.03	affaires de pardeça ont discouru de mal
152r.04	en pis, continuant les presches et
152r.05	assemblees plus que jamais, et [es?] villes
152r.06	ou solloit avoir ung predicant, [il?] en y a
152r.07	a present deux, [ausquels?] presches [il?]
152r.08	y a deux notables femmes que y assistent
152r.09	ordinairement avecques grand suitte, que
152r.10	sont madame de Castelpers et mademoiselle
152r.11	de [Boesse?], femme du cappitaine
152r.12	[Montseuignac?].
152r.13	Vray est que les rebelles ayant entendu
152r.14	que le roy envoyoit pardeça le sieur de
152r.15	Termes avecques quelques compaignies, [ils?]
152r.16	ont praticque quelques seigneurs [a?] faire
152r.17	escripre a sa majesté et luy faire entendre
152r.18	que [ung?] chacun de pardeça vit soubs
152r.19	l'obeissance du roy, ce qui pourroit
152r.20	avoir faict ce rapport, tant pour ung
152r.21	profit particulier qui se pourroient
152r.22	estre ressentis que pour estre de la
152r.23	ligue desdicts rebelles.
152r.24	A quoy ne fault que le roy et vostre
152r.25	grandeur s'arreste aulcunement, car ne font
152r.26	cella que pour se faire [forts?], augmenter leurs
152r.27	trouppes et gaigner temps pour avoir secours
152r.28	de quelques estrangiers qui disent se tenir
152r.29	asseures.
152v.01	Il est a present facil les chastier, et pour
152v.02	l'advenir je ne scai qu'il pourra estre, pour
152v.03	les grandes factions et menees [qui?] se y
152v.04	briguent avecques beaucoup de qualité de
152v.05	personnes.
152v.06	[Et?] que soit vray, puis peu de jours il
152v.07	c'est faict une assemblee en la ville
152v.08	de Clairac en Agenois d'environ deux
152v.09	mil rebelles, ou fust arresté et
152v.10	conclut que si le roy envoyoit forces
152v.11	de pardeça, qu'ils se mectroient en deffence,
152v.12	disans qu'ils ayment mieulx mourir les
152v.13	armes en main que si le roy les faisoit
152v.14	executer par ung bourreau.
152v.15	Leurs trouppes et sectes augmentent
152v.16	touts les jours.
152v.17	Vostre grandeur ne pourroit croire le
152v.18	nombre de grands seigneurs et noblesse [qui?]
152v.19	[sont en?] intelligence avecques ceste canaille.
152v.20	Vray est qu'ils ne se declairent poinct,
152v.21	mais [qu'ils?] y donnent toute la faveur
152v.22	et conseil qu'ils peuvent.
152v.23	Le frere du seigneur de Caulmont est
152v.24	[sieur?] [et?] abbé dudict Clairac. Lesdicts de
152v.25	Caulmont n'ont seigneurie, place ne chasteau
152v.26	ou [qu'il?] [n'y?] [ait?] de ministres et qu'il ne
152v.27	s'i face assemblee de rebelles,
152v.28	de quoy ay cy devant adverti vostre
152v.29	grandeur.
152v.30	Le juge des terres dudict seigneur de
152v.31	Caulmont nommé Reclus est parti pour
153r.01	aller en court, lequel par les moyens
153r.02	desdicts de Caulmont et par la faveur
153r.03	du chief, il a esté esleu pour les raisons
153r.04	que ay cy devant escriptes a vostre
153r.05	grandeur pour aller faire les remonstrances
153r.06	des dolleances pour le tiers estat du
153r.07	pays d'Agenois, avecques ung scindic
153r.08	du pays d'Agenois nommé Boissonade,
153r.09	lesquels sont a present pardela.
153r.10	[Ils?] pallieront et dissimuleront la
153r.11	verité de toutes les choses [qui?]
153r.12	sont passees pardeça,
153r.13	car fust arresté par le juge maige
153r.14	et aultres magistrats du siege presidial
153r.15	d'Agen qu'il n'estoit besoing que lesdicts
153r.16	delegué et scindic remonstrassent la
153r.17	toutalle verité des choses pour [n'?]irriter
153r.18	le roy et eviter que sa majesté [..]
153r.19	n'executast sa rigueur sur ledict
153r.20	pays d'Agenois.
153r.21	Si vostre grandeur trouvoit bon faire ouir
153r.22	particulierement lesdicts scindic et delegué,
153r.23	[entendres?] par leur bouche de grandes choses
153r.24	qu'ont discouru audict pays d'Agenois.
153r.25	Ledict juge maige est parti pour s'en aller [pardela?]
153r.26	[expressement?] pour [solliciter?] lesdicts scindic
153r.27	et delegué pour leur faire taiser la verité
153r.28	des choses discourues audict pays d'Agenois.
153r.29	Vostre grandeur advisera s'il sera bon
153r.30	de le surprendre sur le faict, pendent
153r.31	qu'il sera pardela, [et?] luy faire rendre raison
153r.32	du devoir qu'il a faict en sa province. Vostre
153v.01	grandeur a beaucoup de memoires contre luy
153v.02	contenent les abus et mal-
153v.03	versations commises en son estat
153v.04	de chief de province.
153v.05	Ledict Reclus, delegué a la judicature
153v.06	pour lesdicts seigneurs de Caulmont de la
153v.07	ville de Thonens, Caulmont et aultres
153v.08	lieux et places, [..] en toutes
153v.09	lesquelles il y a ordinairement ministres
153v.10	predicans, au presche desquels il a
153v.11	assisté et luy present se y est
153v.12	faict assemblee de rebelles. S'il est
153v.13	ouy sur lesdicts faicts, je ne scay
153v.14	quelle raison il pourra rendre du
153v.15	debvoir de justice qu'il y a faict.
153v.16	Monsieur de Biron, puis ung mois, il fist
153v.17	une assemblee d'environ cinq cens soldats,
153v.18	la pluspart arcabousiers, lesquels il
153v.19	disoit vouloir conduire suivant le
153v.20	commandement du roy en la ville de
153v.21	Bregeyrac pour gaigner le chasteau d'icelle
153v.22	et executer sur les habitans quelque
153v.23	commandement que sa majesté l'avoit
153v.24	chargé. Toutesfois, ayant faict ladicte
153v.25	assemblee, apres avoir communiqué aux
153v.26	principaulx habitans dudict Bregerac, il
153v.27	en renvoya lesdicts soldats et s'en
153v.28	retourna en sa maison sans faire aultre
153v.29	execution, chose [qui?] ne donne a presumer
154r.01	rien de bon pour les abus que se y peuvent
154r.02	commectre, deaultant qu'il a faict le
154r.03	semblable a Villeneufve, Montflanquin [et?]
154r.04	aultres villes suspectes de pardeça.
154r.05	Je ne scay s'il a faict ses choses du
154r.06	mandement du roy ou vostre; je n'ay
154r.07	voullu faillir [vous?] en donner advertissement,
154r.08	pour ce que despuis qu'il a eu parlementé
154r.09	avecques eulx, ils ne se sont
154r.10	amendés aulcunement, ains sont pis
154r.11	que jamais.
154r.12	Aussi je ne scay si le roy et vostre
154r.13	grandeur estes advertis que ledict [sieur?]
154r.14	de Biron est allié de [Mesmi?] qu'est
